student_id,cohort_year,exam_month,institution_region,program_type,age_years,prior_statistics_course,preclinical_gpa,undergrad_quant_score_pct,study_hours_biostats_per_week,study_days_before_exam,practice_exam_count,qbank_biostats_questions_completed,qbank_biostats_accuracy_pct,nbme_baseline_biostats_pct,epidemiology_quiz_pct,average_question_time_sec,sleep_hours_night_before_exam,test_anxiety_score_1_10,self_reported_confidence_1_10,biostat_performance_index_pct,step1_outcome,risk_band
S1BIO-022,2026,May,South,DO,24,1,3.12,59.7,14.7,26,4,82,38.9,40.9,61.7,86.4,6.1,5.7,6.6,42.2,Pass,At Risk
S1BIO-023,2026,Mar,Midwest,DO,24,0,3,53.4,13.2,27,2,67,51.2,48.4,51.3,108.8,5.7,8.6,4.3,38,Pass,At Risk
S1BIO-024,2026,May,Northeast,MD,23,1,3.03,35.4,18.4,24,5,167,53,41.2,42.7,98.4,6.9,6.9,5.3,43.3,Pass,At Risk
S1BIO-025,2026,Jun,Midwest,MD,24,1,3.2,58.1,16.6,23,2,87,40.8,39.7,55,109,4.9,8.9,5.1,39.7,Fail,At Risk
S1BIO-026,2026,Apr,West,DO,23,0,2.61,53.8,3,15,3,58,57.6,43.1,55.9,76.5,6.7,6.1,4.9,47.2,Fail,At Risk
S1BIO-027,2026,Apr,Northeast,DO,25,1,3.15,68.5,16.6,33,5,97,57.9,55.7,55.1,100.9,7.9,3.2,5.4,54.3,Pass,At Risk
S1BIO-028,2026,Jun,Northeast,MD,23,0,3.26,66.7,13.2,32,3,154,71.5,62.6,58,81.8,6.7,4.8,5.6,52.1,Pass,At Risk
S1BIO-029,2026,Apr,Northeast,MD,24,1,2.92,48.9,15.5,28,4,82,45.4,42.3,49,94.9,7.4,4.7,4.9,41.9,Fail,At Risk
S1BIO-030,2026,Apr,Midwest,MD,24,0,2.84,49.8,14.6,25,3,136,52.6,39.9,41.4,96.2,7.9,5.1,4.3,54.1,Fail,At Risk
S1BIO-031,2026,May,Midwest,MD,26,0,2.86,57.8,8.2,25,2,133,42.5,44.8,52.7,76.1,7.4,2.3,5.3,38.4,Fail,At Risk
S1BIO-032,2026,May,South,MD,24,1,3.6,100,11.6,20,2,107,61.9,63.8,75.4,76.7,6.2,6.4,7.3,62.3,Pass,Borderline
S1BIO-033,2026,Feb,South,MD,21,1,2.96,48.3,10,28,2,84,54.6,51.8,50.9,100.9,6.2,3.5,5.1,56.6,Fail,At Risk
S1BIO-034,2026,Jun,South,DO,26,1,2.87,31.9,9.9,18,1,47,47.4,46.3,42.5,102.5,6.6,5.4,5.1,40,Pass,At Risk
S1BIO-035,2026,Apr,Midwest,MD,22,1,3.13,89.7,12.8,17,4,212,70.2,67.1,63.8,90.9,7.7,3.4,6.7,61.9,Pass,Borderline
S1BIO-036,2026,Feb,South,DO,23,1,2.74,51.5,10.2,23,2,62,51.4,46.8,35.9,96.5,7.5,1.7,6.5,44.4,Pass,At Risk
S1BIO-037,2026,May,West,MD,23,0,2.75,51.5,13.3,16,1,57,53.8,49.7,48,97.3,5.5,7.1,6.4,49.7,Pass,At Risk
S1BIO-038,2026,Apr,Northeast,MD,26,0,2.68,40.2,10.9,17,5,20,48.4,28,26.8,88.5,6.8,5.8,5,27.6,Fail,At Risk
S1BIO-039,2026,Feb,Midwest,MD,21,0,2.96,21.5,11,22,5,105,45.7,40.3,38.8,91.6,8.2,3.6,5.8,43.9,Pass,At Risk
S1BIO-040,2026,May,South,MD,29,0,2.94,59.3,7.6,23,2,149,49.5,58.1,48.9,86.2,7.4,3.5,6.1,43.5,Pass,At Risk
S1BIO-041,2026,Jun,South,DO,25,0,2.64,66.9,11.3,27,2,94,57.9,54,47.6,107,7.1,5.8,5.2,56.6,Pass,At Risk
S1BIO-042,2026,Jun,Midwest,IMG,25,0,3.19,69.2,17.8,30,2,138,48.6,52.9,68.2,104.3,5.9,7.7,6.9,48.1,Pass,At Risk
S1BIO-043,2026,Jun,Midwest,MD,24,1,3.15,55.8,12.7,25,5,138,65.3,48.3,64.8,106.5,7.4,4.9,5.3,59.7,Pass,At Risk
S1BIO-044,2026,Jun,West,MD,24,0,2.99,54.9,10.1,26,4,87,50,41.6,44.1,94.7,7.5,2.6,6.5,47.9,Pass,At Risk
S1BIO-045,2026,Jan,Northeast,DO,25,0,2.96,36.5,9.2,24,3,61,35.9,34.7,40.1,94.5,6.4,4.8,5.5,32.3,Pass,At Risk
S1BIO-046,2026,Apr,Northeast,MD,25,0,2.69,49.3,14.6,22,4,117,46.9,46.6,49.5,96.2,7,6.1,5,46.8,Pass,At Risk
S1BIO-047,2026,Jun,Midwest,MD,25,1,2.82,48.3,3,11,1,37,53.3,40.9,57.8,89.1,7,1.8,6.9,50,Fail,At Risk
S1BIO-048,2026,Apr,Midwest,DO,24,1,3.28,72,5.4,10,1,79,55.9,53.3,58.9,78.5,6,7.5,6.7,58.9,Pass,At Risk
S1BIO-049,2026,May,South,MD,23,1,2.76,60.1,7.1,21,2,68,51.1,45.3,66.1,86.5,6.8,4.6,7.3,50.5,Pass,At Risk
S1BIO-050,2026,May,Northeast,MD,24,0,2.7,42.5,10.7,26,3,104,46.4,39.1,32.6,104.8,6.5,6.1,3.8,33.8,Fail,At Risk
S1BIO-051,2026,Apr,Northeast,MD,23,0,3.06,68.3,18.3,27,3,150,49.6,49.5,48,113.1,5.2,7,4.4,51.1,Fail,At Risk
S1BIO-052,2026,Jun,West,DO,26,1,3.13,58.2,24.8,31,5,151,58.3,58.7,61.3,75.3,7.1,6.5,5.2,51.2,Pass,At Risk
S1BIO-053,2026,Apr,Northeast,MD,25,0,2.99,47.7,13.1,23,3,144,57.4,56.5,56.8,105.5,7.2,3.4,5.9,51.6,Pass,At Risk
S1BIO-054,2026,Apr,South,MD,21,1,3.16,62.6,13.6,30,3,127,52.2,56.1,79.4,74.3,7,2.9,6.7,50.2,Pass,At Risk
S1BIO-055,2026,Jun,Northeast,DO,25,1,3.16,73.8,10.2,19,3,116,61.9,49.3,59,82.4,4.6,7.6,5.2,56.5,Fail,At Risk
S1BIO-056,2026,Apr,South,MD,24,1,3.21,77,8.2,27,1,91,51.5,42.3,68.4,100.1,6.5,5.3,4.5,50.5,Pass,At Risk
S1BIO-057,2026,Mar,Northeast,DO,24,0,2.71,69.6,13.2,21,2,49,51.7,33.5,42.5,104.9,6.5,6,5.6,37.9,Pass,At Risk
S1BIO-058,2026,Apr,South,MD,23,0,2.8,46.3,9.5,22,1,115,44.1,38,54.6,107.1,6.8,5.7,7.1,40.7,Pass,At Risk
S1BIO-059,2026,Jun,Northeast,IMG,26,1,3.3,80.8,12.4,21,5,91,63.9,62.1,51.4,98,6.5,3.1,6.4,55.5,Pass,At Risk
S1BIO-060,2026,May,West,MD,25,0,3.01,78.6,7.8,20,1,78,64.7,56.8,52.2,107.4,5.5,6.9,6.7,40.5,Fail,At Risk
S1BIO-061,2026,May,South,MD,23,1,3.14,61.8,15.9,34,5,73,60.6,50.7,48.7,97.2,6.9,4.5,6.3,47.3,Pass,At Risk
S1BIO-062,2026,May,South,MD,24,0,3.32,72.5,19.4,37,7,182,63.5,41.2,54.9,86.1,7.3,3.2,6.7,50.5,Pass,At Risk
S1BIO-063,2026,Mar,West,MD,22,0,2.53,48.1,6,31,3,82,42.7,32.5,38.3,102.7,7.1,5.3,5.7,42.9,Fail,At Risk
S1BIO-064,2026,Jun,Midwest,DO,22,0,2.76,48.2,8.3,31,1,101,43.7,46.8,47,109.1,6.7,4.4,5.6,39.5,Pass,At Risk
S1BIO-065,2026,Jun,South,IMG,23,1,3.49,73.1,13,23,3,130,76.5,62.5,72.8,74.5,8.1,3.6,6.6,63.3,Pass,Borderline
S1BIO-066,2026,Mar,South,MD,25,0,3.22,86.9,14.3,25,3,117,58.9,59.8,68.7,78,5.7,5.2,5.9,67,Pass,Borderline
S1BIO-067,2026,Mar,South,MD,25,0,2.95,64.6,4.7,22,2,127,48.9,53.9,63.3,87.8,7.5,4.4,5.7,56.5,Pass,At Risk
S1BIO-068,2026,Jun,Midwest,DO,25,1,3.44,74.6,15.5,35,3,146,65.1,66.6,69.3,70.7,6,6.3,6.2,66.6,Pass,Borderline
S1BIO-069,2026,Jun,West,IMG,25,0,3.26,51.7,8.1,20,5,136,58.1,56.2,48.6,79.7,8.5,1.1,6.9,52.2,Pass,At Risk
S1BIO-070,2026,Jun,Midwest,MD,25,1,2.71,51.8,14,25,2,28,37.9,40.3,58.5,83.5,5.9,5.8,4.9,42.3,Pass,At Risk
S1BIO-071,2026,Jun,South,MD,23,0,3.04,56.2,13.8,31,2,131,46.1,52.6,52.5,95.4,6.7,6.9,5.9,48.4,Pass,At Risk
S1BIO-072,2026,Apr,Midwest,MD,24,1,3.64,80.6,12.7,36,2,199,72.6,83,78.4,80.9,7.5,3.1,8.5,72.8,Pass,Solid
S1BIO-073,2026,May,South,MD,25,0,3.52,69.2,19.9,32,5,196,61.9,42.7,65.8,83,6.7,4.7,7.4,56.1,Pass,At Risk
S1BIO-074,2026,Apr,Northeast,MD,25,1,3.62,77.8,9.5,33,4,170,76.3,72.1,76.6,95,7.8,5.4,7.4,65.2,Pass,Borderline
S1BIO-075,2026,Feb,South,MD,26,1,2.7,31.3,21.9,46,6,136,53.6,35.4,27.4,84,7.7,3.3,4.2,41,Fail,At Risk
S1BIO-076,2026,May,West,MD,25,1,2.92,70.5,7.4,17,1,76,63,59.3,57.3,96.9,6.8,4.3,6.1,56.9,Pass,At Risk
S1BIO-077,2026,Apr,Northeast,DO,24,1,3.01,70.9,16.2,22,4,145,62.1,51.6,68.4,91.7,8.1,4.5,6.6,57.6,Pass,At Risk
S1BIO-078,2026,May,Midwest,MD,26,0,2.97,31.6,25.6,14,4,77,47.8,45,49.5,83.8,5.1,6.8,3.5,51.2,Pass,At Risk
S1BIO-079,2026,Apr,Northeast,MD,24,1,3.3,57.1,15.7,37,6,177,69.5,61.4,63,117.8,6.9,5.6,7.4,62,Pass,Borderline
S1BIO-080,2026,Apr,South,MD,22,0,2.79,37.4,17.3,14,2,52,37.8,46.1,37.8,111.3,5.7,6,3.7,30.7,Pass,At Risk
S1BIO-081,2026,Mar,Northeast,MD,24,1,3.05,72.5,10.4,22,2,59,48.3,48.8,58,89.4,6.2,7.1,5.4,50.4,Fail,At Risk
S1BIO-082,2026,Mar,South,MD,23,1,2.84,65.2,10.2,26,2,77,54.7,47.7,61.1,72.1,7.2,4.6,7.4,58.4,Pass,At Risk
S1BIO-083,2026,Mar,Midwest,MD,23,0,3.26,58.8,3,16,1,20,50,54.1,61.1,82.5,5.6,5.6,5.8,59,Fail,At Risk
S1BIO-084,2026,Mar,South,MD,24,1,2.72,62.6,10.2,26,2,37,38.6,40,49.3,97.3,5.9,6.9,5.5,35.2,Fail,At Risk
S1BIO-085,2026,Jun,Midwest,MD,23,0,2.73,43.2,6.4,24,2,33,49.4,31.1,49.5,94.7,7.9,3,5.4,40.6,Fail,At Risk
S1BIO-086,2026,Mar,West,MD,23,0,2.94,40.1,14.5,31,3,99,52.6,43,52.2,95,6.8,6.7,5.1,52.7,Pass,At Risk
S1BIO-087,2026,Mar,West,MD,21,0,3.68,67,11.1,25,3,143,67.6,64.2,60.5,90.7,7,4.3,6,56.3,Pass,At Risk
S1BIO-088,2026,May,South,DO,24,0,3.87,62.2,23.5,32,4,219,67.1,52.4,66.8,80.5,7.5,4.9,8.2,58,Pass,At Risk
S1BIO-089,2026,May,South,MD,24,0,3.12,46.4,16.5,26,4,137,61.7,53.8,49.1,77.1,6.4,5.9,5.2,54,Pass,At Risk
S1BIO-090,2026,Mar,Northeast,DO,22,1,3.07,52.6,7.8,28,2,51,52.9,54.9,55.3,90.2,7.1,5.5,6.3,51.5,Pass,At Risk
S1BIO-091,2026,May,West,MD,25,1,3.07,72.8,7.6,27,3,104,57.8,43.9,51.4,68.1,6.6,5.3,4.2,48.9,Pass,At Risk
S1BIO-092,2026,May,West,MD,25,1,3.36,81.7,18.4,27,2,155,63.9,57.9,60.8,93.1,6.2,7.9,7.1,54.9,Pass,At Risk
S1BIO-093,2026,Mar,South,MD,21,0,2.69,54.3,4.1,26,3,20,39.3,50.3,42.1,85,7.5,3.5,6.1,47.4,Fail,At Risk
S1BIO-094,2026,Mar,West,MD,23,1,3.43,49.6,21.9,27,4,180,65.1,56.9,65.8,94.5,6.3,5.7,6,50.8,Pass,At Risk
S1BIO-095,2026,Jun,South,DO,23,0,3.08,49.7,15.6,38,6,114,58.4,49.8,46.5,107.7,7.4,5,5.5,48.7,Pass,At Risk
S1BIO-096,2026,Jun,Midwest,DO,22,0,2.74,39.8,12.6,31,1,61,41.7,34.2,39.7,91.7,5.9,2.7,5.1,37,Pass,At Risk
S1BIO-097,2026,May,Northeast,DO,25,0,3.12,69.9,10.1,25,2,43,46.9,46.6,48.1,105.7,7.2,5.7,7.1,51.9,Pass,At Risk
S1BIO-098,2026,Feb,Midwest,MD,23,1,3.36,73.8,23.1,42,5,130,67.4,55.9,60.6,77.9,7.5,3.7,5.5,56.9,Pass,At Risk
S1BIO-099,2026,Apr,Northeast,MD,23,1,3.14,57,12.7,16,2,93,67.4,35.6,47.2,113.6,6,6.8,6,47.4,Pass,At Risk
S1BIO-100,2026,May,West,MD,21,0,3.06,57,20.5,30,5,160,66.3,64.8,51.9,86.5,6.1,2.8,5.4,55.2,Pass,At Risk
S1BIO-101,2026,Mar,West,MD,25,0,2.54,47.5,7.3,17,3,26,38.6,33.4,35.4,93.9,6.5,4.2,4.4,33.3,Pass,At Risk
S1BIO-102,2026,Apr,Midwest,MD,22,1,2.76,72.4,16.8,28,1,60,47.2,44.9,55.6,107.3,5.6,4.5,4.7,42.6,Pass,At Risk
S1BIO-103,2026,May,Northeast,MD,24,1,3.05,65.6,9.9,21,4,96,60.1,47.6,55.5,86.9,6.7,5.5,5.5,52.5,Fail,At Risk
S1BIO-104,2026,Apr,South,MD,24,0,2.97,53.4,12.8,29,1,97,53.4,40.6,37.8,82.8,7.2,2.5,5.8,49.9,Pass,At Risk
S1BIO-105,2026,May,South,MD,26,0,3.07,58.1,9,32,2,101,53.4,48.2,57.6,82.7,7.9,4.2,5.2,49.7,Pass,At Risk
S1BIO-106,2026,Jun,South,DO,22,0,3.49,74.9,16.7,33,6,158,57.8,45.3,59.4,90.2,6.7,6.6,6.9,56.8,Pass,At Risk
S1BIO-107,2026,Apr,Northeast,IMG,21,0,3.39,85.7,7.9,24,1,112,66.2,78.8,69.7,90,7.3,2.7,5.8,75.3,Pass,Solid
S1BIO-108,2026,Jun,West,IMG,24,0,3.21,54.5,16.3,21,2,154,32.2,41,54.3,79.2,5.3,6.3,5.6,39.7,Fail,At Risk
S1BIO-109,2026,Feb,South,MD,27,1,3,80.4,11.3,24,3,105,63.8,49.7,56.5,81.6,7.3,2.5,6.6,49.6,Pass,At Risk
S1BIO-110,2026,Jun,South,MD,26,1,3,67.6,17.6,34,6,140,51.4,45.9,59,104.8,6.9,6.7,4.3,45.8,Pass,At Risk
S1BIO-111,2026,Mar,South,MD,24,0,2.88,34.1,22.3,35,2,145,50.7,42.6,39.7,105.8,6.5,5.1,4.8,40.3,Fail,At Risk
S1BIO-112,2026,Feb,South,DO,23,1,3.07,60.2,11.3,21,1,87,49.4,46.1,43.3,107.2,7.4,4.8,4.2,48.3,Pass,At Risk
S1BIO-113,2026,May,Midwest,MD,25,0,2.95,65.2,10.5,20,4,77,40,38.6,47,91.8,6.7,2.7,5.6,52,Pass,At Risk
S1BIO-114,2026,Apr,South,MD,22,1,3.69,95.9,16.9,21,6,200,82.4,83.6,81,73.1,6.7,3.6,6.7,77.6,Pass,Solid
S1BIO-115,2026,Jun,West,DO,25,0,2.89,60.7,13.4,25,4,173,48,53.9,53.5,98.3,7.6,4.9,6.2,48.6,Pass,At Risk
S1BIO-116,2026,Apr,South,MD,25,1,2.99,70.5,14.5,32,1,56,54.6,51.7,66.3,97.2,6.7,6.2,4.6,51.3,Pass,At Risk
S1BIO-117,2026,Mar,West,MD,25,0,3.32,69.9,21.7,26,7,138,63.8,59.2,50.8,85.5,6.9,4.7,5.9,55.1,Pass,At Risk
S1BIO-118,2026,Apr,West,MD,28,0,2.87,51.6,17.6,27,5,74,50.1,54,39.1,105.1,6.4,6.1,5.2,37.3,Fail,At Risk
S1BIO-119,2026,Apr,Northeast,MD,24,1,3.5,78.6,15.3,36,5,218,67.7,78.1,66.9,74,7.1,5.6,6.5,78.2,Pass,Solid
S1BIO-120,2026,Apr,West,MD,23,0,3.25,75.4,12.9,21,2,151,61.1,53,54.9,80.6,7,4.8,6.3,55.8,Pass,At Risk
S1BIO-121,2026,May,Northeast,MD,24,1,3.48,66.3,17.7,37,6,191,64.8,73.6,66.4,78.5,7.5,4.8,5.7,63.7,Pass,Borderline
S1BIO-122,2026,May,West,MD,21,0,2.91,49.1,16.2,38,5,144,63.6,52.8,53.1,100.6,7.9,3.2,7,53.6,Pass,At Risk
S1BIO-123,2026,Jun,South,MD,23,1,3.44,95.3,13,25,3,122,71.9,66.8,62.9,45.5,7.6,2.3,8.6,67.9,Pass,Borderline
S1BIO-124,2026,Jun,West,DO,23,0,3.02,43.7,18.9,48,7,124,48.9,29.5,44.7,106.1,7.7,5.6,7.1,37,Pass,At Risk
S1BIO-125,2026,Mar,West,MD,23,1,3.42,67.7,19.6,23,5,202,63.7,56.3,52.9,87.9,7.1,5.4,6.4,53.1,Pass,At Risk
S1BIO-126,2026,May,West,MD,24,1,3.62,85.9,18.4,38,4,186,84.5,69.9,76.7,57.3,7.3,5.2,8.5,75.6,Pass,Solid
S1BIO-127,2026,Apr,West,MD,22,0,2.38,37.5,10,21,3,100,49.9,42.6,39.7,103.6,5.6,3.7,3.3,44.1,Fail,At Risk
S1BIO-128,2026,May,South,IMG,26,0,3.18,45.2,13,33,4,152,50.6,53.2,60,100.5,5.2,4.8,6.7,44.6,Pass,At Risk
S1BIO-129,2026,Apr,Northeast,MD,24,0,3.14,57.5,17.6,34,5,196,62.6,43,54.3,92.8,7.5,3.3,7.1,57.1,Pass,At Risk
S1BIO-130,2026,Jun,South,MD,24,0,2.56,38.7,3,13,2,20,35.1,40.3,30.5,69.2,6.5,4.9,4.8,42.6,Fail,At Risk
S1BIO-131,2026,May,Northeast,DO,23,0,2.68,39,7.5,21,1,26,28.7,38.3,25,119.1,6,6.2,5.2,36,Fail,At Risk
S1BIO-132,2026,Jun,Midwest,DO,24,1,2.69,68.7,3,10,1,20,47.4,43.8,54,84.4,6.7,6.1,5.3,53.8,Pass,At Risk
S1BIO-133,2026,Jun,South,MD,25,1,2.98,44.8,16.5,28,2,69,50.8,43.3,50.8,108.1,6.5,5.2,4.4,42.8,Pass,At Risk
S1BIO-134,2026,Jun,West,DO,22,1,3.36,83.1,16.6,32,2,175,65.3,61.4,65.5,87.7,8.4,2.2,7.4,62.5,Pass,Borderline
S1BIO-135,2026,Jun,Midwest,MD,23,0,3.1,50.1,21.7,35,5,181,51,47.5,48.5,90.4,6.5,7.4,4.4,50,Pass,At Risk
S1BIO-136,2026,Apr,West,MD,23,1,3.26,94,20.1,34,6,143,65.7,61.9,79.3,90.4,6.2,5.7,7.5,62.9,Pass,Borderline
S1BIO-137,2026,Mar,Northeast,MD,22,1,3.19,46.9,16.1,33,2,133,54.1,41,49.7,90.9,7.4,6.7,4.9,46.6,Pass,At Risk
S1BIO-138,2026,Apr,West,MD,22,1,2.8,64,12.4,18,1,33,45,34.1,57.3,80.4,5.7,7.4,3.9,43.8,Pass,At Risk
S1BIO-139,2026,Jan,West,DO,23,0,2.99,59.5,11.2,14,2,33,39.2,53.1,46.6,109,5.8,6.6,4.4,47.2,Fail,At Risk
S1BIO-140,2026,Apr,South,MD,25,1,2.85,58.4,14.5,24,3,112,50.4,37.3,39.8,96.6,6,5.1,5.1,50.9,Fail,At Risk
S1BIO-141,2026,Apr,Midwest,MD,24,1,2.94,71.5,17.1,36,4,135,59.2,55.3,48.3,73.4,7.5,1,6.3,49.9,Pass,At Risk
S1BIO-142,2026,Apr,Midwest,DO,24,1,3.38,83.2,7.3,32,1,134,73.3,61,67.5,74.2,7.3,4.3,6.1,61.5,Pass,Borderline
S1BIO-143,2026,Jun,Northeast,DO,25,0,2.36,31.5,3,17,1,20,25,28,33.6,106.9,6.7,5.6,3.7,35.6,Fail,At Risk
S1BIO-144,2026,Jun,South,MD,24,1,2.86,59,10.8,26,2,93,60.5,57.6,59.5,90.5,6.9,6.9,5.9,60.1,Pass,Borderline
S1BIO-145,2026,Mar,South,MD,24,1,2.71,71.6,6.5,15,1,69,53.5,45,57.4,100.7,6,6.9,4.4,47.3,Fail,At Risk
S1BIO-146,2026,Apr,Northeast,MD,24,1,3.52,67.6,12.5,36,5,164,69.6,52.4,59.8,69.1,6.3,4.9,6,60.8,Pass,Borderline
S1BIO-147,2026,Apr,South,DO,24,1,2.75,54.2,19.1,32,5,97,40.7,44.3,45.2,92.6,6.5,4.7,6.7,48.4,Pass,At Risk
S1BIO-148,2026,Apr,Northeast,MD,23,1,2.82,34.1,5.6,29,1,20,42.1,34.7,33.3,98.2,7.1,3.8,4.2,38.1,Fail,At Risk
S1BIO-149,2026,May,Northeast,IMG,21,1,3.1,80,12.5,22,3,135,51.2,54,69.9,106.1,6.9,4.9,6,69.7,Pass,Borderline
S1BIO-150,2026,Apr,Northeast,MD,24,1,2.79,60.5,6.3,21,3,145,53.5,60.7,55.9,85.2,7.1,3.6,5.9,48.3,Pass,At Risk
S1BIO-151,2026,May,West,MD,26,1,2.89,70.2,5.4,26,3,115,65.3,53.3,56.2,97.5,7.6,4.3,6,57.5,Pass,At Risk
S1BIO-152,2026,Jun,South,MD,25,1,3.45,74,16.3,34,5,192,71.2,60.2,72.7,82.5,7.2,3.5,7.4,66.9,Pass,Borderline
S1BIO-153,2026,May,West,MD,25,0,2.79,45.3,3,21,2,28,44.8,34.8,36.6,89.6,6.2,4.3,6.1,47.1,Fail,At Risk
S1BIO-154,2026,Mar,South,MD,26,0,3.08,66,16.6,24,5,147,50.8,51,48.9,91.4,6.2,7.6,5.5,49.6,Pass,At Risk
S1BIO-155,2026,May,South,IMG,24,0,3.05,62.5,4.8,27,2,65,59.3,55.9,47.5,85.5,6.7,5.4,5.2,51.4,Pass,At Risk
S1BIO-156,2026,Apr,South,MD,24,1,2.85,49.8,18.6,25,2,20,39.9,28,48.5,115.4,4.7,9.4,5,40.9,Pass,At Risk
S1BIO-157,2026,Mar,South,MD,23,0,3.63,72.3,15.9,21,1,135,54.4,66.9,72.9,95.9,6.3,6.6,6.8,65.1,Pass,Borderline
S1BIO-158,2026,Feb,Northeast,DO,23,1,3.33,56.3,10.4,30,3,134,58.2,51,64.3,95.5,6.8,5.8,7.1,56.6,Pass,At Risk
S1BIO-159,2026,Apr,Midwest,MD,25,1,2.7,53.6,13.8,30,2,98,43.9,38.9,61.7,109.2,7,3.6,3.3,50,Pass,At Risk
S1BIO-160,2026,Apr,Northeast,DO,26,0,2.83,52.6,6,21,1,88,58.8,56.9,42.1,83.5,6.2,7.1,5.7,47.2,Pass,At Risk
S1BIO-161,2026,Mar,Midwest,MD,24,1,3.02,54.6,22.8,36,5,133,52.6,51,56,87.6,8.5,2.6,7.6,48.8,Pass,At Risk
S1BIO-162,2026,May,Midwest,MD,23,1,3.13,65.6,11.1,25,1,96,43.1,65.9,61,80.1,6.2,7,6,49.9,Pass,At Risk
S1BIO-163,2026,May,Northeast,MD,24,1,3.13,85.6,15.6,20,5,138,58.1,48.2,62.8,99.8,5.6,7.3,5.2,54.1,Pass,At Risk
S1BIO-164,2026,Mar,Northeast,MD,25,0,2.65,42.3,15.8,25,4,87,50.1,44.3,41.8,92.9,6.3,5.7,5.6,48.3,Pass,At Risk
S1BIO-165,2026,Jan,West,IMG,22,1,3.29,72.2,16,14,5,78,50.6,57.1,60,98.1,5.6,6,5.5,58,Pass,At Risk
